tag,name,keyword,accessibility,summary
Entrance_5F,5階展示の入り口。,,,詳細：セカイゲート。私たちをとりまく“世界”のしくみを、 さまざまなスケールでさぐるゾーンです。
UniverseA,ニュートリノ,宇宙,,詳細：目にはみえない素粒子の謎を解き明かす2つの挑戦を展示しています。素粒子の1つ、ニュートリノを観測する巨大な観測装置「スーパーカミオカンデ」と、「粒子加速器」という巨大な実験装置です。
UniverseC,“ちり”つも,ラボ,「はやぶさツー」の触れる３次元の　もけー　があります。,詳細：“ちり”も積もれば世界をかえる。世界最高の掘削能力をもつ地球深部探査せん「ちきゅう」、リュウグウの砂を持ち帰った小惑星探査機「はやぶさツー」、微弱な電波から宇宙を解き明かす電波望遠鏡「アルマ」を紹介します。
ISS,国際宇宙ステーション,宇宙,,詳細：宇宙飛行士たちの実験や暮らしを紹介しながら、人類が宇宙を目指す意味を考える展示です。宇宙居住棟の展示では、宇宙での暮らしやそこで行われている研究成果を見ることができます。
Books,ぼくきみ,生命,,詳細：ぼくとみんなとそしてきみ。絵本の中に入り込んだようなしかけを通じて、人間の脳のしくみや社会との関わり合いを学ぶことができる展示です。
Cells,細胞展,生命,ここでは胎児の実物大のもけーに触って成長の過程を実感できます。,詳細：細胞たち研究開発中。iPS細胞など現在進行形の研究や、生命の基本単位である細胞の原理やしくみを幅広く知り、新しい「細胞」とのつきあい方について考える展示です。
Environment,地球環境,地球,,詳細：地球環境とわたし。展示では、地球上のあらゆる生命の活動を支えている「循環」という地球のしくみに着目し、循環するものづくりや、循環を乱さないエネルギーの実現方法などを紹介しながら、未来の社会のあり方を考えていきます。
Survival,サバイバル,地球,,詳細：100億人でサバイバル。現代に生きる私たちを脅かす災害を理解し、どう向き合ったらよいか考える展示です。
Medicine,医療展,生命,,詳細：ともに進める医療。医療の将来を考える展示です。画像診断技術の発展や、一人ひとりの体質にあった患者に負担の少ない治療法などを紹介します。
Rocket,ロケットエンジン。日本の主力ロケットであるエイチツーエーロケットの心臓部、第一段メインエンジン、エルイーセヴンエイの実物です。高さは3.7メートルあります。,宇宙,エイチツーエーロケットの触れる３次元模型があります。,詳細：日本の主力ロケットであるエイチツーエーロケットの心臓部、第一段メインエンジン、エルイーセヴンエイの実物です。エンジンの高さは3.7メートルあります。
CoStudio,コ　スタジオ,ラボ,,詳細：毎日決められた時間に、科学コミュニケーター・トークや、体験できる電子工作などさまざまなアクティビティを開催しています。内容は毎日異なるので、スタッフにお問い合わせください。
GeoScope,ジオ スコープ,地球,,詳細：気温の未来予測シミュレーションなど、地球のさまざまなデータに自由にアクセスし、それぞれの視点で地球の新しい側面を発見できます。データから地球のいまをさぐります。
OvalBridge_5F,オーバルブリッジ,,,詳細：ジオコスモスを取り囲みながら、５階と３階の展示エリアをゆるやかに繋げている回廊。全長は125メートルです。広大な宇宙に、ぽつんと浮かぶ地球を想像しながら、その周りをゆっくり歩いてみてください。
Research,研究エリア,,,詳細：未来館の中にある研究現場です。研究室を訪れる見学ツアーなど、一般の人が研究者とコミュニケーションする機会を定期的に設けています。
OpinionBank,オピニオン バンク,ラボ,,詳細：科学や社会にまつわる問題にアンケート形式で意見を発信するコーナーです。常設展内のオピニオン・バンク端末のほか、ウェブサイトからもアンケート形式でご回答いただけます。
Dome_6F,ドームシアター,,,詳細：ドームシアターガイアでは、迫力ある全天周の立体視映像で、科学や宇宙を体験できます。障害者手帳所持者は本人および付き添いの方お一人まで無料です。ご鑑賞を希望される方は事前にお席を確保する必要があるため，3階総合案内までお問い合わせください。
Route_Main,交差点,,,
