tag,name,keyword,accessibility,summary
Restaurant,レストラン Miraikan Kitchen,,,詳細：お台場から東京タワーまで見渡せる7階の展望ラウンジにある、セルフサービス形式のレストランです。
Hollow,吹き抜け,,,
Dome,ドームシアターの出口。入り口は６階です。,,,詳細：ドームシアターガイアでは、迫力ある全天周の立体視映像で、科学や宇宙を体験できます。障害者手帳所持者は本人および付き添いの方お一人まで無料です。ご鑑賞を希望される方は事前にお席を確保する必要があるため，3階総合案内までお問い合わせください。
MiraikanHall,未来館ホール,,,
InnovHall,イノベーションホール,,,
Conf_Jupiter,コンファレンスルーム　木星,,,
Conf_Uranus,コンファレンスルーム　天王星,,,
Conf_Saturn,コンファレンスルーム　土星,,,
Wait_Moon,パントリー、化粧室　と　控室、月,,,
Conf_MercuryMarsVenus,コンファレンスルーム 　水星　火星　金星,,,
Wait_Io,控室　イオ、エウロパ、ガニメデ,,,
Wait_Titan,控室　タイタン、トリトン,,,
Conf_Neptune,コンファレンスルーム 　海王星,,,
Courtyard,中庭,,,来館者には公開しないことご了承ください。
7F_Entrance,七階エスカレーターの出口,,,
